order,block,List,condition,sentence,taskQuestion,correctAnswer,trigger,trigger224,trigger225,trigger226,trigger227,trigger228,trigger229,trigger230,trigger231,word_trigger,trigger224w,trigger225w,trigger226w,trigger227w,trigger228w,trigger229w,trigger230w,trigger231w
64,3,5,TF.verb.072,A capture di ambitious photographar did capture di forest inna di studio work.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
65,3,5,BA.control.42,"Wen mi did deh a di site, di engineer revise di design.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
66,3,5,WH.control.72,A di problem wid di engine prevent di flight before di takeoff?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
67,3,5,N400.congruent.12.07,Mi cat cover up inna white fur.,Yuh cat cover inna white fur?,9,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
68,3,5,WH.wh.12,Wah di review by di critic affect after di release?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
69,3,5,TF.verb.087,A wield di brave heroine did wield di sword inna di battle arena.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
70,3,5,WH.control.87,A di film by di journalist offend di pastor after di sermon?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
71,3,5,BA.target.27,"Wen she did deh a di restaurant, di cook prepare di dinner.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
72,3,5,TF.topic.012,"Dah food deh, di hungry patient did nyam it inna di recovery ward.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
73,3,5,WH.a.57,A who di experiment by di doctor decieve during di procedure?,Di experiment was by di mad scientist?,7,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
74,3,5,BA.target.12,"Wen him did deh a di site, di engineer notice di foreman.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
75,3,5,TF.control.057,Yessideh di talented coach train di swimmer inna di African championship.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
76,3,5,BA.control.57,"Wen mi did deh a di salon, di hairdresser prepare di customer.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
77,3,5,TF.topic.027,"Dah surgeon deh, di stubborn journalist did oppose him inna di morning article.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
78,3,5,N400.incongruent.57.08,Di racing car dem get di checkered shore.,,,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
79,3,5,TF.noun.117,A dah teacher deh di relentless blogger did expose inna di online post.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
80,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4,5,TF.noun.097,A dah dinner deh di professional chef did prepare inna di restaurant kitchen.,Di chef mek dinner?,9,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
82,4,5,WH.wh.22,Who di documentary by di director confuse after di screening?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
83,4,5,N400.incongruent.52.07,Di lecture fi last bout one space.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
84,4,5,TF.verb.082,A explain di forgiving consultant did explain di policy inna di meeting office.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
85,4,5,WH.wh.07,Wah di painting by di monk sekkle after di auction?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
86,4,5,N400.incongruent.37.06,She put on har high-heel stamp.,,,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
87,4,5,TF.control.052,Yessideh di office supervisor quote di poet inna di annual report.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
88,4,5,WH.control.67,A di lecture by di professor cover di syllabus before di exam?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
89,4,5,TF.control.037,Yessideh di night crew unload di crate at di warehouse dock.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
90,4,5,WH.a.37,A wah di meeting bout di embargo incite after di announcement?,Was di meeting bout di embargo?,9,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
91,4,5,N400.congruent.07.06,It unlucky fi walk unda ladder.,,,6,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
92,4,5,TF.noun.112,A dah prize deh di small bwoy did win inna di drawing competition.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
93,4,5,WH.a.52,A who di comment bout di bribe surprise after di meeting?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
94,4,5,BA.target.22,"Wen she did deh a di hospital, di pharmacist dispense di medicine.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
95,4,5,TF.topic.022,"Dah player deh, di unfair referee did disqualify har during di volleyball game.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
96,4,5,WH.control.82,A di comment by di principal hurt di student during di assembly?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
97,4,5,BA.control.37,"Wen mi did deh a di lab, di scientist teach di assistant.",A di baby di scientist teach?,7,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
98,4,5,N400.congruent.22.07,Di careless smoker cause a forest fire.,,,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
99,4,5,TF.verb.067,A hug di affectionate madda did hug di daughter inna di primary school.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
100,4,5,BA.target.07,"Wen him did deh a di job, di driver drive di customer.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
101,4,5,TF.topic.007,"Dah costume deh, di generous woman did wash it fi di neighbor pitney.",Di woman wash di mat fi di neighbour pitney?,7,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
102,4,5,BA.control.52,"Wen mi did deh a di hotel, di maid wash di clothes.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
103,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,5,5,TF.control.046,Yessideh di skilled electrician fix di light inna di electronics store.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
105,5,5,N400.incongruent.31.05,Betsy coulda neva tell circle.,,,21,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1
106,5,5,WH.a.31,A wah di blueprints by di engineer describe before di construction?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
107,5,5,TF.noun.106,A dah madda deh di hungry pitney did meet inna di restaurant booth.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
108,5,5,N400.congruent.16.07,Fada carve di turkey wid a knife.,,,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
109,5,5,WH.wh.16,Who di advice from di consultant assist before di interview?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
110,5,5,TF.verb.076,A cook di busy mada did cook di lunch inna di outside kitchen.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
111,5,5,WH.control.76,A di survey bout di debate reveal di strategy during di meeting?,Di survey was bout di town election?,7,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
112,5,5,BA.control.46,"Wen mi did deh a di airport, di stewardess help di travellers.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
113,5,5,N400.incongruent.46.07,Fred put di worm pon one dictionary.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
114,5,5,WH.a.46,A wah di verdict from di judge cause during di trial?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
115,5,5,TF.verb.061,A interview di senior official did interview di agent inna di government office.,Di senior official interview di agent?,9,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
116,5,5,BA.control.31,"Wen mi did deh a di capital, di minister meet di president.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
117,5,5,TF.topic.001,"Dah accountant deh, di new manager did hire him inna di office department.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
118,5,5,BA.target.16,"Wen him did deh a di workshop, di tailor prepare di suit.",A di skirt di tailor prepare?,7,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
119,5,5,N400.congruent.01.05,A female chicken name hen.,,,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
120,5,5,TF.topic.016,"Dah lesson deh, di smart teacha did read it inna di quiet library.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
121,5,5,WH.control.61,A di blueprints fi di building reveal di flaw during di inspection?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
122,5,5,TF.noun.091,A dah anthem deh di cheerful teacha did sing inna di morning lineup.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
123,5,5,BA.target.01,"Wen him did deh a di airport, di pilot prepare di paperwork.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
124,5,5,WH.wh.01,Wah di advertisement fi di show interrupt during di broadcast?,Was di advertisment fi di show?,9,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
125,5,5,TF.control.031,Yessideh di noble queen prefer di advisor among di royal ministers.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
126,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,6,5,N400.incongruent.43.08,Ray drop down an skin up him smell.,,,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
128,6,5,TF.control.058,Yessideh di selfless firefighter rescue di tenant from di broken elevator.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
129,6,5,WH.a.43,A wah di story by di reporter uncover after di townhall?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
130,6,5,TF.noun.118,A dah town deh di sensitive poet did describe inna di famous collection.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
131,6,5,TF.control.043,Yessideh di tidy mada prepare di furniture inna di new house.,Di mada prepare di laundry?,7,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
132,6,5,WH.wh.13,Wah di statue a di president block during di ceremony?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
133,6,5,TF.noun.103,A dah gift deh di kind neighbor did tek from di new neighbors.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
134,6,5,BA.control.43,"Wen mi did deh a di station, di policeman solve di case.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
135,6,5,TF.topic.013,"Dah friend deh, di active girl did chase har inna di neighborhood garden.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
136,6,5,BA.target.13,"Wen him did deh a di station, di officer salute di captain.",Di officer salute di captain a di station?,9,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
137,6,5,TF.verb.073,A order di savvy customer did order di gadget from di internet store.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
138,6,5,N400.incongruent.58.08,Brian pour some sauce pon him rare disease.,,,24,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
139,6,5,WH.control.88,A di incompetence a di doctor injure di patient during di operation?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
140,6,5,BA.control.58,"Wen mi did deh a di school, di teacher teach di students.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
141,6,5,WH.control.73,A di question by di chemist reveal di error during di lecture?,Di chemist did have a question?,9,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
142,6,5,TF.topic.028,"Dah technique deh, di contemporary scholar did master it inna di university lecture.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
143,6,5,N400.congruent.13.07,Pam weigh harself pon di bathroom scale.,Pam weigh herself pon di hospital scale?,7,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
144,6,5,BA.target.28,"Wen she did deh a di school, di principal punish di students.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
145,6,5,WH.wh.28,Who di invitation to di fundraiser excite before di event?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
146,6,5,TF.verb.088,A discuss di university doctah did discuss di theory inna di scientific conference.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
147,6,5,WH.a.58,A who di film bout di recession enlighten during di screening?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
148,6,5,N400.congruent.28.08,Yesterday dem paddle di canoe dung di river.,,,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
149,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,7,5,N400.incongruent.33.06,Emily pour cereal inna one desk.,,,22,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1
151,7,5,TF.control.048,Yessideh di overworked employee help di manager inna di late project.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
152,7,5,WH.a.33,A wah di drawing by di artisit depict before di clash?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
153,7,5,TF.noun.108,A dah movie deh di tactful broadcaster did discuss inna di mawnin broadcast.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
154,7,5,N400.congruent.18.07,Him mail di letter widout a stamp.,,,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
155,7,5,TF.control.033,Yessideh di young clerk accept di box from di delivery driver.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
156,7,5,WH.wh.03,Wah di campaign bout di environment save after di conference?,Was di campaign bout di environment?,9,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
157,7,5,TF.noun.093,A dah bwoy deh di shy girl did meet inna di training session.,,,68,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
158,7,5,BA.control.33,"Wen mi did deh a di factory, di carpenter mek di table.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
159,7,5,TF.topic.003,"Dah bill deh, di full man did recieve it inna di restaurant booth",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
160,7,5,BA.target.03,"Wen him did deh a di dock, di captain encourage di crew.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
161,7,5,TF.verb.063,A address di kind woman did address di broadcaster pon di evening radio.,Di woman did address di broadcaster?,9,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
162,7,5,N400.incongruent.48.07,Hers new shoes dida di wrong year.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
163,7,5,WH.control.78,A di video a di riot record di arrests after di protest?,Was di video of di party?,7,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
164,7,5,BA.control.48,Wen mi did deh a di class di teacher scold di students.,,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
165,7,5,WH.control.63,A di cousin of di bride crash di wedding during di ceremony?,,,132,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
166,7,5,TF.topic.018,"Dah manager deh, di old woman did scold him inna di store hallway.",,,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
167,7,5,N400.congruent.03.05,Cathy liked by har friend.,,,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
168,7,5,BA.target.18,"Wen she did deh a di church, di nun help di priest.",Di maid help di priest a church?,7,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
169,7,5,WH.wh.18,Who di book bout di wizard captivate during di reading?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
170,7,5,TF.verb.078,A sell di deceitful merchant did sell di melon inna di vegetable market.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
171,7,5,WH.a.48,A who di advertisement by di company disappoint before di match?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
172,,,,break,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,8,5,TF.verb.084,A win di high schooler did win di scholarship inna di robotics contest.,,,65,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
174,8,5,N400.incongruent.54.07,Dem picnic get ruin by di broom.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
175,8,5,WH.a.39,A wah di pamphlet bout di disease suggest before di launch?,Was di pamphlet bout di disease?,9,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
176,8,5,TF.control.039,Yessideh di strict boss fire di employee inna di work meeting.,,,72,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
177,8,5,N400.incongruent.39.07,Mi add mi name to di baby.,,,23,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1
178,8,5,BA.target.09,"Wen him did deh a di office, di accountant review di accounts.",,,34,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
179,8,5,WH.a.54,A who di decision bout di regulations dissatisfy after di vote?,,,144,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
180,8,5,TF.topic.009,"Dah email deh, di liad manager did delete it from di company phone.",Di liad man delete di contract?,7,66,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
181,8,5,N400.congruent.24.07,Di winter did very harsh dis year.,,,7,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1
182,8,5,BA.control.54,"Wen mi did deh a di mall, di madda buy di dress.",,,33,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
183,8,5,WH.wh.24,Who di experiment bout di bacteria intrigue after di results?,,,136,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
